score,name
80,hsa-miR-561-3p
80,hsa-miR-4483
80,hsa-miR-3680-3p
80,hsa-miR-7-2-3p
80,hsa-miR-7-1-3p
80,hsa-miR-28-3p
80,hsa-miR-6507-3p
80,hsa-miR-20a-3p
80,hsa-miR-3942-5p
80,hsa-miR-421
80,hsa-miR-627-5p
80,hsa-miR-647
80,hsa-miR-8068
80,hsa-let-7c-3p
80,hsa-miR-641
80,hsa-miR-3617-5p
80,hsa-miR-346
80,hsa-miR-5087
80,hsa-miR-519c-3p
80,hsa-miR-519b-3p
80,hsa-miR-519a-3p
80,hsa-miR-3606-3p
79,hsa-miR-4531
79,hsa-miR-100-3p
79,hsa-miR-6863
79,hsa-miR-3941
79,hsa-miR-23c
79,hsa-miR-23b-3p
79,hsa-miR-23a-3p
79,hsa-miR-30e-3p
79,hsa-miR-30d-3p
79,hsa-miR-30a-3p
79,hsa-miR-29b-1-5p
79,hsa-miR-380-3p
79,hsa-miR-122b-5p
79,hsa-miR-571
78,hsa-miR-6776-3p
78,hsa-miR-6719-3p
78,hsa-miR-3910
78,hsa-miR-6790-5p
78,hsa-miR-4658
78,hsa-miR-1303
78,hsa-miR-1468-3p
78,hsa-miR-1297
78,hsa-miR-4733-3p
78,hsa-miR-646
78,hsa-miR-1184
78,hsa-miR-4714-5p
78,hsa-miR-145-3p
78,hsa-miR-6875-5p
78,hsa-miR-5047
78,hsa-miR-580-3p
78,hsa-miR-4801
77,hsa-miR-297
77,hsa-miR-514b-3p
77,hsa-miR-514a-3p
77,hsa-miR-3658
77,hsa-miR-499b-3p
77,hsa-miR-499a-3p
77,hsa-miR-8081
77,hsa-miR-4694-5p
77,hsa-miR-4709-5p
77,hsa-miR-7112-3p
77,hsa-miR-4786-3p
77,hsa-miR-520d-3p
77,hsa-miR-520a-3p
77,hsa-miR-8485
77,hsa-miR-1293
77,hsa-miR-3143
77,hsa-miR-1250-3p
77,hsa-miR-1231
77,hsa-miR-4731-3p
77,hsa-miR-651-5p
76,hsa-miR-4719
76,hsa-miR-411-3p
76,hsa-miR-379-3p
76,hsa-miR-4659b-5p
76,hsa-miR-521
76,hsa-miR-4799-5p
76,hsa-miR-494-3p
76,hsa-miR-4774-5p
76,hsa-miR-219a-2-3p
76,hsa-miR-3650
76,hsa-miR-376b-3p
76,hsa-miR-376a-3p
76,hsa-miR-144-3p
76,hsa-miR-302d-5p
76,hsa-miR-302b-5p
76,hsa-miR-508-3p
76,hsa-miR-5582-3p
75,hsa-miR-3614-3p
75,hsa-miR-34c-3p
75,hsa-miR-6820-3p
75,hsa-miR-3164
75,hsa-miR-3688-5p
75,hsa-miR-130a-5p
75,hsa-miR-95-5p
75,hsa-miR-644a
75,hsa-miR-6828-5p
75,hsa-miR-6507-5p
74,hsa-miR-520e-3p
74,hsa-miR-520c-3p
74,hsa-miR-520b-3p
74,hsa-miR-373-3p
74,hsa-miR-372-3p
74,hsa-miR-4708-5p
74,hsa-miR-3606-5p
74,hsa-miR-892c-3p
74,hsa-miR-4676-3p
74,hsa-miR-452-5p
74,hsa-miR-4635
74,hsa-miR-4711-5p
74,hsa-miR-4659a-5p
74,hsa-miR-219b-3p
74,hsa-miR-8055
74,hsa-miR-891a-3p
74,hsa-miR-1236-3p
74,hsa-miR-361-5p
74,hsa-miR-6818-5p
74,hsa-miR-147a
74,hsa-miR-3920
73,hsa-miR-1301-3p
73,hsa-miR-4429
73,hsa-miR-320d
73,hsa-miR-320c
73,hsa-miR-320b
73,hsa-miR-320a-3p
73,hsa-miR-4772-3p
73,hsa-miR-4762-5p
73,hsa-miR-4325
73,hsa-miR-374b-3p
73,hsa-miR-4758-5p
73,hsa-miR-3191-5p
73,hsa-miR-3177-5p
73,hsa-miR-382-5p
73,hsa-miR-4679
73,hsa-miR-522-3p
73,hsa-miR-224-3p
73,hsa-miR-3190-3p
73,hsa-miR-4795-3p
73,hsa-miR-6732-3p
73,hsa-miR-299-5p
73,hsa-miR-12131
73,hsa-miR-3121-5p
73,hsa-miR-5700
73,hsa-miR-340-5p
73,hsa-miR-4460
72,hsa-miR-576-5p
72,hsa-miR-4789-5p
72,hsa-miR-6809-3p
72,hsa-miR-218-5p
72,hsa-miR-32-3p
72,hsa-miR-514a-5p
72,hsa-miR-3935
